1;10:05:00.00
2;10:07:00.00
3;10:13:00.00
4;10:11:00.00
5;10:15:00.00
6;10:25:00.00
7;10:19:00.00
8;10:32:00.00
9;10:40:00.00
10;10:09:00.00
11;10:27:00.00
12;10:28:00.00
14;10:53:00.00
15;10:33:00.00
16;10:59:00.00
17;10:46:00.00
19;10:31:00.00
20;10:39:00.00
21;10:45:00.00
22;10:48:00.00
23;10:54:00.00
25;0:00:00.00
26;0:00:00.00
27;10:42:00.00
28;10:30:00.00
29;10:21:00.00
30;10:47:00.00
31;10:35:00.00
32;10:52:00.00
33;10:37:00.00
34;10:51:00.00
35;10:43:00.00
36;10:55:00.00
37;10:36:00.00
38;10:50:00.00
39;10:58:00.00
40;10:56:00.00
41;10:24:00.00
42;10:26:00.00
43;10:17:00.00
44;10:41:00.00
47;10:29:00.00
48;10:38:00.00
49;10:57:00.00
51;10:49:00.00
52;10:44:00.00
53;10:34:00.00
101;11:05:00.00
102;11:15:00.00
103;0:00:00.00
104;11:21:00.00
105;11:17:00.00
106;11:25:00.00
107;11:09:00.00
108;11:07:00.00
109;11:29:00.00
110;11:27:00.00
111;11:31:00.00
112;11:23:00.00
113;11:19:00.00
114;11:13:00.00
201;12:16:00.00
202;11:48:00.00
203;11:54:00.00
204;12:08:00.00
205;11:56:00.00
206;11:52:00.00
207;12:38:00.00
208;12:04:00.00
209;12:20:00.00
210;12:26:00.00
211;12:44:00.00
212;0:00:00.00
213;12:14:00.00
214;12:00:00.00
215;0:00:00.00
216;12:28:00.00
217;12:32:00.00
218;12:06:00.00
219;12:10:00.00
221;12:42:00.00
222;12:18:00.00
223;11:50:00.00
224;12:40:00.00
225;11:46:00.00
227;12:36:00.00
228;12:46:00.00
229;12:34:00.00
230;12:02:00.00
231;11:58:00.00
232;12:24:00.00
233;12:30:00.00

