104;02:55:00;SS3   ITUB - SSIMAO;Perdeu 34 Wpt(s) Roteiro (W3003, W3016, W3035, W3092, W3109, W3139, W3143, W3145, W3155, W3176, W3212, W3219, W3229, W3245, W3257, W3284, W3287, W3297, W3306, W3385, W3396, W3412, W3421, W3431, W3437, W3447, W3490, W3503, W3189, W3200 e etc)
105;00:04:03;SS3   ITUB - SSIMAO;Lg=11:54:43 Ch=12:08:22 Real=00:13:39 Min=0:15:00.00 Dif=00:01:21 (9,00%)( x3)
106;00:04:00;SS3   ITUB - SSIMAO;VelPerm=30Km/h / 4 x (1..20Km/h)
202;00:05:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 5 x (1..20Km/h)
203;00:00:15;SS3   ITUB - SSIMAO;Lg=11:31:03 Ch=12:02:58 Real=00:31:55 Min=0:32:00.00 Dif=00:00:05 (0,26%)( x3)
205;00:03:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 3 x (1..20Km/h)
208;01:45:00;SS3   ITUB - SSIMAO;Perdeu 12 Wpt(s) Roteiro (W3287, W3297, W3306, W3385, W3396, W3412, W3421, W3431, W3437, W3447, W3308, W3437)
208;00:04:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 4 x (1..20Km/h)
208;00:36:00;SS3   ITUB - SSIMAO;VelPerm=80Km/h / 6 x (1..20Km/h) + 15 x (20..40Km/h)
208;01:18:00;SS3   ITUB - SSIMAO;VelPerm=100Km/h / 24 x (1..20Km/h) + 1 x (20..40Km/h) Rein(3)(x3)
208;01:20:00;SS3   ITUB - SSIMAO;VelPerm=110Km/h / 20 x (1..20Km/h) Rein(4)(x4)
214;02:55:00;SS3   ITUB - SSIMAO;Perdeu 34 Wpt(s) Roteiro (W3003, W3016, W3035, W3092, W3109, W3139, W3143, W3145, W3155, W3176, W3212, W3219, W3229, W3245, W3257, W3284, W3287, W3297, W3306, W3385, W3396, W3412, W3421, W3431, W3437, W3447, W3490, W3503, W3189, W3200 e etc)
215;00:03:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 3 x (1..20Km/h)
216;00:03:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 3 x (1..20Km/h)
217;02:55:00;SS3   ITUB - SSIMAO;Perdeu 34 Wpt(s) Roteiro (W3003, W3016, W3035, W3092, W3109, W3139, W3143, W3145, W3155, W3176, W3212, W3219, W3229, W3245, W3257, W3284, W3287, W3297, W3306, W3385, W3396, W3412, W3421, W3431, W3437, W3447, W3490, W3503, W3189, W3200 e etc)
218;00:06:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 2 x (1..20Km/h) + 2 x (20..40Km/h)
