2;9:09:37.66
3;9:17:09.05
4;9:45:26.40
5;9:48:31.47
6;9:29:08.04
7;9:14:43.39
8;9:40:01.33
9;0:00:00.00
10;9:17:43.08
11;9:45:34.19
12;9:37:11.12
14;9:24:48.49
15;9:49:52.34
16;0:00:00.00
17;0:00:00.00
18;0:00:00.00
19;9:40:18.24
20;9:37:45.32
31;9:40:27.77
32;0:00:00.00
33;9:24:32.38
41;10:17:33.75
42;9:51:17.23
43;0:00:00.00
44;10:21:55.59
45;10:20:12.00
46;10:04:45.72
47;10:31:24.87
48;0:00:00.00
49;10:55:15.86
50;9:57:12.62
51;10:52:07.81
52;10:04:23.53
53;0:00:00.00
54;10:35:46.22
55;10:44:51.77
56;10:14:02.45
57;0:00:00.00
58;10:44:02.75
59;10:45:10.51
60;9:55:35.35
61;10:10:03.38
62;10:54:07.83
63;9:54:38.80
64;0:00:00.00
65;10:36:06.02
66;10:34:02.11
67;0:00:00.00
68;0:00:00.00
69;0:00:00.00
70;10:10:41.05
71;0:00:00.00
72;0:00:00.00
73;0:00:00.00
74;9:58:51.80
75;0:00:00.00
76;0:00:00.00
77;0:00:00.00
78;0:00:00.00
79;10:47:51.98
80;10:40:53.10
81;10:17:25.85
82;0:00:00.00
83;10:38:06.45
84;0:00:00.00
85;0:00:00.00

2;9:09:37.66
3;9:17:09.05
4;9:45:26.40
5;9:48:31.47
6;9:29:08.04
7;9:14:43.39
8;9:40:01.33
9;0:00:00.00
10;9:17:43.08
11;9:45:34.19
12;9:37:11.12
14;9:24:48.49
15;9:49:52.34
16;0:00:00.00
17;0:00:00.00
18;0:00:00.00
19;9:40:18.24
20;9:37:45.32
31;9:40:27.77
32;0:00:00.00
33;9:24:32.38
41;10:17:33.75
42;9:51:17.23
43;0:00:00.00
44;10:21:55.59
45;10:20:12.00
46;10:04:45.72
47;10:31:24.87
48;0:00:00.00
49;10:55:15.86
50;9:57:12.62
51;10:52:07.81
52;10:04:23.53
53;0:00:00.00
54;10:35:46.22
55;10:44:51.77
56;10:14:02.45
57;0:00:00.00
58;10:44:02.75
59;10:45:10.51
60;9:55:35.35
61;10:10:03.38
62;10:54:07.83
63;9:54:38.80
64;0:00:00.00
65;10:36:06.02
66;10:34:02.11
67;0:00:00.00
68;0:00:00.00
69;0:00:00.00
70;10:10:41.05
71;0:00:00.00
72;0:00:00.00
73;0:00:00.00
74;9:58:51.80
75;0:00:00.00
76;0:00:00.00
77;0:00:00.00
78;0:00:00.00
79;10:47:51.98
80;10:40:53.10
81;10:17:25.85
82;0:00:00.00
83;10:38:06.45
84;0:00:00.00
85;0:00:00.00

